linha,altimetria_media_m,amplitude_altimetrica_m
LT 69 kV ITARARE II / ITARARE I C 1 SP,0.0,0.0
LT 88 kV ASSIS / CANOAS I C 1 SP,0.0,0.0
LT 88 kV ASSIS / DECASA C 1 SP,0.0,0.0
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,215.55887095898188,646.041015625
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,215.6419175274931,646.041015625
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,617.2311476412918,958.1199951171875
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,0.0,0.0
LT 88 kV CANOAS II / DECASA C 1 SP,0.0,0.0
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,0.0,0.0
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,429.9974797144548,781.0490112304688
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,553.1193517256268,958.1199951171875
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,0.8491878941967133,645.3350219726562
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,0.0,0.0
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,100.25514246071609,764.4660034179688
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,0.0,0.0
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,0.0,0.0
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,583.1051015363468,1423.8399658203125
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,583.2013881681677,1423.8399658203125
LT 88 kV OURINHOS / CHAVANTES C 1 SP,0.0,0.0
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,0.0,0.0
LT 88 kV PAR.PAULISTA2 / ASSIS C 2 SP,0.0,0.0
LT 88 kV PRE. PRUDENTE / PAR.PAULISTA2 C 1 SP,270.48025446777945,609.7360229492188
LT 88 kV PRE. PRUDENTE / PRE.PRUDENTE1 C 1 SP,0.0,0.0
LT 88 kV PRE. PRUDENTE / PRE.PRUDENTE1 C 2 SP,0.0,0.0
LT 88 kV PRE. PRUDENTE / QUATA II C 1 SP,247.66373047916875,609.7360229492188
LT 88 kV QUATA II / PAR.PAULISTA2 C 1 SP,0.0,0.0
LT 88 kV SALTO GRANDE / OURINHOS C 1 SP,0.0,0.0
RL 88 kV ASSIS I / DS31 C 1 SP,0.0,0.0
RL 88 kV ASSIS I / DS32 C 2 SP,0.0,0.0
RL 88 kV OURINHOS 1 / DOA1 C 1 SP,0.0,0.0
RL 88 kV OURINHOS 1 / DOA2 C 2 SP,0.0,0.0
RL 88 kV OURINHOS 2 / DOU1 C 1 SP,0.0,0.0
RL 88 kV OURINHOS 2 / RLOU2 C 2 SP,0.0,0.0
RL 88 kV PALMITAL / DPMT C 1 SP,0.0,0.0
RL 88 kV SANTA LINA / DSAL C 1 SP,0.0,0.0
LT 138 kV AGUA AZUL / MAIRIPORA C 1 SP,465.89861057189313,1423.8399658203125
LT 138 kV AGUA AZUL / MAIRIPORA C 2 SP,466.0963263265365,1423.8399658203125
LT 138 kV AGUA AZUL / SANTO ANGELO C 1 SP,0.0,0.0
LT 138 kV AGUA AZUL / SANTO ANGELO C 2 SP,0.0,0.0
LT 138 kV AGUA VERMELHA / COL BOA HORA C 1 SP,0.0,0.0
LT 138 kV AGUA VERMELHA / COL BOA HORA C 2 SP,0.0,0.0
LT 138 kV AGUA VERMELHA / GUARIROBA 1 C 1 SP,0.0,0.0
LT 138 kV ALCIDIA / MIRANTE PAR 2 C 1 SP,324.81302305911896,481.9960021972656
LT 138 kV ALTA PAULISTA / PRE. PRUDENTE C 1 SP,0.0,0.0
LT 138 kV ALTA PAULISTA / PRE. PRUDENTE C 2 SP,0.0,0.0
LT 138 kV ARARAQUARA CTP / SAO CARLOS C 1 SP,205.65653350683314,929.7360229492188
LT 138 kV ARARAQUARA CTP / SAO CARLOS C 2 SP,205.6002399091585,929.7360229492188
LT 138 kV ARARAS / BALDIN C 1 SP,0.0,0.0
LT 138 kV ARARAS / P.FERREIRA C 1 SP,0.0,0.0
LT 138 kV ARARAS / RIO CLARO-I C 1 SP,0.0,0.0
LT 138 kV ARARAS / RIO CLARO-I C 2 SP,0.0,0.0
LT 138 kV ARARAS / SAO CARLOS C 1 SP,691.005303460034,992.4559936523438
LT 138 kV ARARAS / SAO CARLOS C 2 SP,691.0190297297969,992.4559936523438
LT 138 kV ATIBAIA II / BRA. PAULISTA C 1 SP,137.11462832062088,1248.97998046875
LT 138 kV ATIBAIA II / BRA. PAULISTA C 2 SP,137.01604720006986,1248.97998046875
