linha,decl_Baixa__orient_Baixo,decl_Baixa__orient_Médio,decl_Baixa__orient_Alto,decl_Média__orient_Baixo,decl_Média__orient_Médio,decl_Média__orient_Alto,decl_Alta__orient_Baixo,decl_Alta__orient_Médio,decl_Alta__orient_Alto
LT 69 kV ITARARE II / ITARARE I C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 88 kV ASSIS / CANOAS I C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 88 kV ASSIS / DECASA C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,7.57546006594494,17.220190887517667,71.2344564349373,1.3078338978393078,1.8720073209675612,0.7087879272964072,0.034373720338494985,0.03564346198688266,0.011246283171433715
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,7.577778261642697,17.228116301772033,71.22172565584866,1.3085673122634354,1.8732830355749586,0.7092401264339034,0.034384650837025826,0.03565479625053074,0.01124985937675779
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,14.950875088444691,37.0450185255295,36.114474018175294,2.65619084485773,5.861752615765062,1.8925108083313127,0.4302630440855138,0.773180308064029,0.275734746746866
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 88 kV CANOAS II / DECASA C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 88 kV CERQUILHO / ITAPETININGA2 C 1 SP,13.492879735553407,31.310567881375512,47.48487674655395,2.7040177514624135,3.5817796525573344,1.2967352025988323,0.05898140146426748,0.049626517673029696,0.02053511076125367
LT 88 kV CHAVANTES / BOTUCATU C 1 SP,13.402625375718019,33.192126719002054,42.74301344910412,2.382690085110233,5.255376439722988,1.6969189343584916,0.3864673408668375,0.6932423105501925,0.24753934556706103
LT 88 kV CHAVANTES / IPAUSSU C 1 SP,0.015566957487083873,0.09695990663383669,99.86790324646674,0.005515150652566858,0.009784944706167005,0.00017790808556667284,0.0006226782994833549,0.0034692076685501204,0.0
LT 88 kV CHAVANTES / SALTO GRANDE C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 88 kV ITAPETINGA 2 / ITAPETININGA1 C 1 SP,2.454138075899734,5.946733650749195,89.05418533818793,0.7951442375017505,1.2191919899173784,0.43651974513373476,0.03675955748494609,0.04813751575409606,0.009189889371236522
LT 88 kV JAGUARI / S.JOSE CAMPOS C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 88 kV JAGUARI / S.JOSE CAMPOS C 2 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 88 kV MAIRIPORA / JAGUARI C 1 SP,6.052668711308186,13.539505858476423,28.05278440493201,8.398275840630411,17.206236859447927,8.90689528591733,5.444304062305882,8.579330955667176,3.819998021314658
LT 88 kV MAIRIPORA / JAGUARI C 2 SP,6.0550504348747545,13.546293197549973,28.042028251315276,8.398621765742346,17.20624800971879,8.908350017003556,5.444544345222487,8.578767558402758,3.8200964201700573
LT 88 kV OURINHOS / CHAVANTES C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 88 kV PAR.PAULISTA2 / ASSIS C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 88 kV PAR.PAULISTA2 / ASSIS C 2 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 88 kV PRE. PRUDENTE / PAR.PAULISTA2 C 1 SP,13.367894496778021,26.883087393484075,58.496803382988915,0.35245412132363285,0.615903075512919,0.2597238937660321,0.008757854824884514,0.010897783153136838,0.004477998168379864
LT 88 kV PRE. PRUDENTE / PRE.PRUDENTE1 C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 88 kV PRE. PRUDENTE / PRE.PRUDENTE1 C 2 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 88 kV PRE. PRUDENTE / QUATA II C 1 SP,11.54123741700343,24.413452806785127,62.599127772303035,0.3762481901846693,0.7164539135525829,0.32565687395773535,0.009713884349393916,0.012658817613689808,0.005450324250338668
LT 88 kV QUATA II / PAR.PAULISTA2 C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 88 kV SALTO GRANDE / OURINHOS C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
RL 88 kV ASSIS I / DS31 C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
RL 88 kV ASSIS I / DS32 C 2 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
RL 88 kV OURINHOS 1 / DOA1 C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
RL 88 kV OURINHOS 1 / DOA2 C 2 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
RL 88 kV OURINHOS 2 / DOU1 C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
RL 88 kV OURINHOS 2 / RLOU2 C 2 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
RL 88 kV PALMITAL / DPMT C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
RL 88 kV SANTA LINA / DSAL C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV AGUA AZUL / MAIRIPORA C 1 SP,5.093794764042754,10.40107379579839,50.699807443204165,5.344202789607946,10.586414222021233,5.542652953960765,3.7810168586421438,6.106371693549648,2.444665479172956
LT 138 kV AGUA AZUL / MAIRIPORA C 2 SP,5.09022609732899,10.399779710521347,50.68100953184879,5.347310652655679,10.589887606672654,5.547759648787386,3.785684310266668,6.110507880278921,2.4478345616395694
LT 138 kV AGUA AZUL / SANTO ANGELO C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV AGUA AZUL / SANTO ANGELO C 2 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV AGUA VERMELHA / COL BOA HORA C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV AGUA VERMELHA / COL BOA HORA C 2 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV AGUA VERMELHA / GUARIROBA 1 C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV ALCIDIA / MIRANTE PAR 2 C 1 SP,19.8762078037027,39.87903523221793,38.8531704078873,0.4084404887763381,0.6906916136011605,0.2747522926757308,0.008052024684680255,0.004056745260983945,0.005593391193174833
LT 138 kV ALTA PAULISTA / PRE. PRUDENTE C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV ALTA PAULISTA / PRE. PRUDENTE C 2 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV ARARAQUARA CTP / SAO CARLOS C 1 SP,5.054729410807577,10.449610859055724,80.8657816167812,0.8662304772017481,1.1757337640523118,0.5911632007394976,0.3940854223460952,0.3847575417317456,0.21790770728409287
LT 138 kV ARARAQUARA CTP / SAO CARLOS C 2 SP,5.054224793045313,10.446267522070023,80.87012138162416,0.8663904465620695,1.1756653267092871,0.5911287901952149,0.3937118315524898,0.3845948849721863,0.2178950232692529
LT 138 kV ARARAS / BALDIN C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV ARARAS / P.FERREIRA C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV ARARAS / RIO CLARO-I C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV ARARAS / RIO CLARO-I C 2 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV ARARAS / SAO CARLOS C 1 SP,20.121564516585995,39.232506848628425,25.632885184951107,3.7272447918823324,5.80705937221451,2.686275065326217,1.0688110083665503,1.1406752954662842,0.5829779165785843
LT 138 kV ARARAS / SAO CARLOS C 2 SP,20.121435276926153,39.23381575814504,25.632225679572798,3.7271280458934686,5.806641781733602,2.686199759069098,1.068824402126861,1.1406895897908935,0.5830397067420879
LT 138 kV ATIBAIA II / BRA. PAULISTA C 1 SP,1.1126494479038078,2.5472129202103355,85.68710229636551,1.902020828928613,4.0326551768822085,2.025739481527455,0.8590739515628517,1.3190290745653819,0.5145168220538388
LT 138 kV ATIBAIA II / BRA. PAULISTA C 2 SP,1.1124162515910663,2.5457060650833085,85.69602414191561,1.900684721261557,4.031792676388371,2.0244229528280395,0.8578456450827354,1.3167821511352675,0.5143253947140446
LT 138 kV ATIBAIA II / MAIRIPORA C 1 SP,0.5164569079850928,1.2631754530216401,91.25060171717162,1.1187633318314956,2.4781228781254163,1.3413193629186297,0.7528830298080035,0.8923998248561091,0.3862774942819871
LT 138 kV ATIBAIA II / MAIRIPORA C 2 SP,0.516286687761667,1.2624369710576717,91.25158733683628,1.1188628640677698,2.4775597477663984,1.3415658822964243,0.7530389399445101,0.8921716762005071,0.386489894068776
LT 138 kV B. SANTISTA / VIC. CARVALHO C 1 SP,15.04420489126708,27.104136272601952,16.484203756292604,4.479957060132366,6.638536639577032,2.7239387397527173,10.52381436546651,12.295675037891595,4.705533237018138
LT 138 kV B. SANTISTA / VIC. CARVALHO C 2 SP,15.045480977888301,27.106922847808924,16.484136026891456,4.4795453793312126,6.637646146645423,2.723658145680962,10.521849307620665,12.296292969359436,4.704468198773621
LT 138 kV BAGUACU / N.AVANHANDAVA C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV BAGUACU / N.AVANHANDAVA C 2 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV BALDIN / P.FERREIRA C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV BARIRI / BAURU C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV BARIRI / BAURU C 2 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV BARIRI / IBITINGA C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV BARIRI / IBITINGA C 2 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV BERTIOGA II / SAO SEBASTIAO C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV BERTIOGA II / SAO SEBASTIAO C 2 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV BERTIOGA II / VIC. CARVALHO C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV BERTIOGA II / VIC. CARVALHO C 2 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV BERTIOGA II / VIC. CARVALHO C 3 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV BERTIOGA II / VIC. CARVALHO C 4 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV BIOPAV / N.AVANHANDAVA C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV BIOPAV / PROMISSAO C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV BOM JARDIM / BRA. PAULISTA C 1 SP,0.24582368879079866,0.5047844620972682,96.8263367143703,0.42615420502054513,0.7819449037083747,0.42865345524547765,0.21890868636844843,0.3935998687573215,0.1737940156414614
LT 138 kV BOM JARDIM / BRA. PAULISTA C 2 SP,0.24512756887283615,0.5032645224466359,96.83513072188627,0.42552864243545935,0.7802426538632105,0.4266180982971164,0.21866019999846195,0.39220411019653784,0.17322348200347087
LT 138 kV BORBOREMA / IBITINGA C 1 SP,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
LT 138 kV BOTUCATU / TIETE C 1 SP,7.3881768462468616,17.346779352653396,70.75181102478673,1.4284816235065285,2.1634304266955593,0.8306770403842811,0.04377336582515799,0.036978556135297144,0.009891763766191984
LT 138 kV BOTUCATU / TIETE C 2 SP,7.384158841461301,17.334122209562196,70.77250550634066,1.4281587212809377,2.1608429265767315,0.829568067153089,0.04377338605861566,0.036978573227975216,0.00989176833848337
LT 138 kV BRANCO PERES / FLOR.PAULISTA C 1 SP,0.6452824637627861,2.0569445684895165,97.29146855939015,0.0010507347262573355,0.0045969644273758424,0.0006567092039108346,0.0,0.0,0.0
LT 138 kV BRANCO PERES / VALPARAISO C 1 SP,14.619613875695086,28.733885022348016,56.187794685374556,0.1493058063079093,0.21778113822185138,0.09135844791567876,8.700804563397977e-05,0.00017401609126795953,0.0
LT 138 kV CABREUVA / MAIRIPORA C 1 SP,0.02464520102211519,0.06307792709156755,99.11139401069912,0.08238046215783959,0.23358365351030388,0.15332876813059543,0.09662757137342133,0.16206086732724231,0.07290153868779528
