linha,scenario,date_range,limit_K,limit_C,days_exceeding,total_days,n_cells,pct
LT 69 kV ITARARE II / ITARARE I C 1 SP,historical,1995-2014,310.7633912767629,37.61339127676291,74,7305,1,1.01
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2021-2040,310.7633912767629,37.61339127676291,69,7305,1,0.94
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2031-2050,310.7633912767629,37.61339127676291,106,7305,1,1.45
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2041-2060,310.7633912767629,37.61339127676291,82,7305,1,1.12
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2021-2040,310.7633912767629,37.61339127676291,68,7305,1,0.93
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2031-2050,310.7633912767629,37.61339127676291,117,7305,1,1.6
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2041-2060,310.7633912767629,37.61339127676291,188,7305,1,2.57
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2021-2040,310.7633912767629,37.61339127676291,72,7305,1,0.99
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2031-2050,310.7633912767629,37.61339127676291,107,7305,1,1.46
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2041-2060,310.7633912767629,37.61339127676291,165,7305,1,2.26
LT 88 kV ASSIS / CANOAS I C 1 SP,historical,1995-2014,314.8139344377335,41.66393443773353,94,7305,2,1.29
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2021-2040,314.8139344377335,41.66393443773353,113,7305,2,1.55
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2031-2050,314.8139344377335,41.66393443773353,134,7305,2,1.83
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2041-2060,314.8139344377335,41.66393443773353,104,7305,2,1.42
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2021-2040,314.8139344377335,41.66393443773353,88,7305,2,1.2
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2031-2050,314.8139344377335,41.66393443773353,119,7305,2,1.63
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2041-2060,314.8139344377335,41.66393443773353,176,7305,2,2.41
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2021-2040,314.8139344377335,41.66393443773353,129,7305,2,1.77
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2031-2050,314.8139344377335,41.66393443773353,128,7305,2,1.75
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2041-2060,314.8139344377335,41.66393443773353,136,7305,2,1.86
LT 88 kV ASSIS / DECASA C 1 SP,historical,1995-2014,314.4534579264323,41.303457926432316,74,7305,1,1.01
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2021-2040,314.4534579264323,41.303457926432316,80,7305,1,1.1
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2031-2050,314.4534579264323,41.303457926432316,92,7305,1,1.26
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2041-2060,314.4534579264323,41.303457926432316,69,7305,1,0.94
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2021-2040,314.4534579264323,41.303457926432316,62,7305,1,0.85
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2031-2050,314.4534579264323,41.303457926432316,92,7305,1,1.26
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2041-2060,314.4534579264323,41.303457926432316,128,7305,1,1.75
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2021-2040,314.4534579264323,41.303457926432316,73,7305,1,1.0
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2031-2050,314.4534579264323,41.303457926432316,87,7305,1,1.19
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2041-2060,314.4534579264323,41.303457926432316,106,7305,1,1.45
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,historical,1995-2014,314.04531634025676,40.895316340256784,74,7305,1,1.01
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2021-2040,314.04531634025676,40.895316340256784,94,7305,1,1.29
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2031-2050,314.04531634025676,40.895316340256784,111,7305,1,1.52
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2041-2060,314.04531634025676,40.895316340256784,96,7305,1,1.31
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2021-2040,314.04531634025676,40.895316340256784,86,7305,1,1.18
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2031-2050,314.04531634025676,40.895316340256784,116,7305,1,1.59
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2041-2060,314.04531634025676,40.895316340256784,167,7305,1,2.29
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2021-2040,314.04531634025676,40.895316340256784,111,7305,1,1.52
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2031-2050,314.04531634025676,40.895316340256784,107,7305,1,1.46
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2041-2060,314.04531634025676,40.895316340256784,126,7305,1,1.72
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,historical,1995-2014,314.04531634025676,40.895316340256784,74,7305,1,1.01
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2021-2040,314.04531634025676,40.895316340256784,94,7305,1,1.29
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2031-2050,314.04531634025676,40.895316340256784,111,7305,1,1.52
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2041-2060,314.04531634025676,40.895316340256784,96,7305,1,1.31
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2021-2040,314.04531634025676,40.895316340256784,86,7305,1,1.18
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2031-2050,314.04531634025676,40.895316340256784,116,7305,1,1.59
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2041-2060,314.04531634025676,40.895316340256784,167,7305,1,2.29
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP3-7.0,2021-2040,314.04531634025676,40.895316340256784,111,7305,1,1.52
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP3-7.0,2031-2050,314.04531634025676,40.895316340256784,107,7305,1,1.46
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP3-7.0,2041-2060,314.04531634025676,40.895316340256784,126,7305,1,1.72
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,historical,1995-2014,314.268282182375,41.118282182375026,117,7305,3,1.6
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP1-2.6,2021-2040,314.268282182375,41.118282182375026,125,7305,3,1.71
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP1-2.6,2031-2050,314.268282182375,41.118282182375026,149,7305,3,2.04
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP1-2.6,2041-2060,314.268282182375,41.118282182375026,120,7305,3,1.64
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP2-4.5,2021-2040,314.268282182375,41.118282182375026,108,7305,3,1.48
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP2-4.5,2031-2050,314.268282182375,41.118282182375026,148,7305,3,2.03
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP2-4.5,2041-2060,314.268282182375,41.118282182375026,209,7305,3,2.86
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP3-7.0,2021-2040,314.268282182375,41.118282182375026,129,7305,3,1.77
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP3-7.0,2031-2050,314.268282182375,41.118282182375026,142,7305,3,1.94
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP3-7.0,2041-2060,314.268282182375,41.118282182375026,166,7305,3,2.27
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,historical,1995-2014,314.8139344377335,41.66393443773353,94,7305,2,1.29
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP1-2.6,2021-2040,314.8139344377335,41.66393443773353,113,7305,2,1.55
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP1-2.6,2031-2050,314.8139344377335,41.66393443773353,134,7305,2,1.83
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP1-2.6,2041-2060,314.8139344377335,41.66393443773353,104,7305,2,1.42
