linha,scenario,date_range,limit_K,limit_C,days_exceeding,total_days,pct
LT 69 kV ITARARE II / ITARARE I C 1 SP,historical,1995-2014,316.1751403808594,43.0251403808594,0,7305,0.0
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2021-2040,316.1751403808594,43.0251403808594,0,7305,0.0
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2031-2050,316.1751403808594,43.0251403808594,0,7305,0.0
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2041-2060,316.1751403808594,43.0251403808594,0,7305,0.0
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2021-2040,316.1751403808594,43.0251403808594,0,7305,0.0
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2031-2050,316.1751403808594,43.0251403808594,0,7305,0.0
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2041-2060,316.1751403808594,43.0251403808594,0,7305,0.0
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2021-2040,316.1751403808594,43.0251403808594,0,7305,0.0
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2031-2050,316.1751403808594,43.0251403808594,0,7305,0.0
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2041-2060,316.1751403808594,43.0251403808594,0,7305,0.0
LT 88 kV ASSIS / CANOAS I C 1 SP,historical,1995-2014,316.1751403808594,43.0251403808594,31,7305,0.42
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2021-2040,316.1751403808594,43.0251403808594,44,7305,0.6
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2031-2050,316.1751403808594,43.0251403808594,49,7305,0.67
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2041-2060,316.1751403808594,43.0251403808594,34,7305,0.47
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2021-2040,316.1751403808594,43.0251403808594,37,7305,0.51
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2031-2050,316.1751403808594,43.0251403808594,49,7305,0.67
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2041-2060,316.1751403808594,43.0251403808594,59,7305,0.81
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2021-2040,316.1751403808594,43.0251403808594,37,7305,0.51
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2031-2050,316.1751403808594,43.0251403808594,42,7305,0.57
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2041-2060,316.1751403808594,43.0251403808594,49,7305,0.67
LT 88 kV ASSIS / DECASA C 1 SP,historical,1995-2014,316.1751403808594,43.0251403808594,17,7305,0.23
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2021-2040,316.1751403808594,43.0251403808594,16,7305,0.22
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2031-2050,316.1751403808594,43.0251403808594,17,7305,0.23
LT 88 kV ASSIS / DECASA C 1 SP,SSP1-2.6,2041-2060,316.1751403808594,43.0251403808594,17,7305,0.23
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2021-2040,316.1751403808594,43.0251403808594,22,7305,0.3
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2031-2050,316.1751403808594,43.0251403808594,28,7305,0.38
LT 88 kV ASSIS / DECASA C 1 SP,SSP2-4.5,2041-2060,316.1751403808594,43.0251403808594,32,7305,0.44
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2021-2040,316.1751403808594,43.0251403808594,13,7305,0.18
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2031-2050,316.1751403808594,43.0251403808594,13,7305,0.18
LT 88 kV ASSIS / DECASA C 1 SP,SSP3-7.0,2041-2060,316.1751403808594,43.0251403808594,21,7305,0.29
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,historical,1995-2014,316.1751403808594,43.0251403808594,8,7305,0.11
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2021-2040,316.1751403808594,43.0251403808594,19,7305,0.26
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2031-2050,316.1751403808594,43.0251403808594,20,7305,0.27
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP1-2.6,2041-2060,316.1751403808594,43.0251403808594,13,7305,0.18
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2021-2040,316.1751403808594,43.0251403808594,14,7305,0.19
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2031-2050,316.1751403808594,43.0251403808594,24,7305,0.33
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP2-4.5,2041-2060,316.1751403808594,43.0251403808594,37,7305,0.51
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2021-2040,316.1751403808594,43.0251403808594,18,7305,0.25
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2031-2050,316.1751403808594,43.0251403808594,22,7305,0.3
LT 88 kV BOTUCATU / CERQUILHO C 1 SP,SSP3-7.0,2041-2060,316.1751403808594,43.0251403808594,30,7305,0.41
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,historical,1995-2014,316.1751403808594,43.0251403808594,8,7305,0.11
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2021-2040,316.1751403808594,43.0251403808594,19,7305,0.26
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2031-2050,316.1751403808594,43.0251403808594,20,7305,0.27
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP1-2.6,2041-2060,316.1751403808594,43.0251403808594,13,7305,0.18
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2021-2040,316.1751403808594,43.0251403808594,14,7305,0.19
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2031-2050,316.1751403808594,43.0251403808594,24,7305,0.33
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP2-4.5,2041-2060,316.1751403808594,43.0251403808594,37,7305,0.51
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP3-7.0,2021-2040,316.1751403808594,43.0251403808594,18,7305,0.25
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP3-7.0,2031-2050,316.1751403808594,43.0251403808594,22,7305,0.3
LT 88 kV BOTUCATU / CERQUILHO C 2 SP,SSP3-7.0,2041-2060,316.1751403808594,43.0251403808594,30,7305,0.41
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,historical,1995-2014,316.1751403808594,43.0251403808594,22,7305,0.3
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP1-2.6,2021-2040,316.1751403808594,43.0251403808594,28,7305,0.38
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP1-2.6,2031-2050,316.1751403808594,43.0251403808594,28,7305,0.38
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP1-2.6,2041-2060,316.1751403808594,43.0251403808594,23,7305,0.31
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP2-4.5,2021-2040,316.1751403808594,43.0251403808594,26,7305,0.36
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP2-4.5,2031-2050,316.1751403808594,43.0251403808594,39,7305,0.53
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP2-4.5,2041-2060,316.1751403808594,43.0251403808594,50,7305,0.68
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP3-7.0,2021-2040,316.1751403808594,43.0251403808594,23,7305,0.31
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP3-7.0,2031-2050,316.1751403808594,43.0251403808594,27,7305,0.37
LT 88 kV BOTUCATU / IPAUSSU C 1 SP,SSP3-7.0,2041-2060,316.1751403808594,43.0251403808594,40,7305,0.55
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,historical,1995-2014,316.1751403808594,43.0251403808594,31,7305,0.42
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP1-2.6,2021-2040,316.1751403808594,43.0251403808594,44,7305,0.6
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP1-2.6,2031-2050,316.1751403808594,43.0251403808594,49,7305,0.67
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP1-2.6,2041-2060,316.1751403808594,43.0251403808594,34,7305,0.47
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP2-4.5,2021-2040,316.1751403808594,43.0251403808594,37,7305,0.51
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP2-4.5,2031-2050,316.1751403808594,43.0251403808594,49,7305,0.67
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP2-4.5,2041-2060,316.1751403808594,43.0251403808594,59,7305,0.81
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP3-7.0,2021-2040,316.1751403808594,43.0251403808594,37,7305,0.51
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP3-7.0,2031-2050,316.1751403808594,43.0251403808594,42,7305,0.57
LT 88 kV CANOAS I / SALTO GRANDE SP C 1 SP,SSP3-7.0,2041-2060,316.1751403808594,43.0251403808594,49,7305,0.67
LT 88 kV CANOAS II / DECASA C 1 SP,historical,1995-2014,316.1751403808594,43.0251403808594,17,7305,0.23
LT 88 kV CANOAS II / DECASA C 1 SP,SSP1-2.6,2021-2040,316.1751403808594,43.0251403808594,16,7305,0.22
LT 88 kV CANOAS II / DECASA C 1 SP,SSP1-2.6,2031-2050,316.1751403808594,43.0251403808594,17,7305,0.23
LT 88 kV CANOAS II / DECASA C 1 SP,SSP1-2.6,2041-2060,316.1751403808594,43.0251403808594,17,7305,0.23
LT 88 kV CANOAS II / DECASA C 1 SP,SSP2-4.5,2021-2040,316.1751403808594,43.0251403808594,22,7305,0.3
LT 88 kV CANOAS II / DECASA C 1 SP,SSP2-4.5,2031-2050,316.1751403808594,43.0251403808594,28,7305,0.38
LT 88 kV CANOAS II / DECASA C 1 SP,SSP2-4.5,2041-2060,316.1751403808594,43.0251403808594,32,7305,0.44
LT 88 kV CANOAS II / DECASA C 1 SP,SSP3-7.0,2021-2040,316.1751403808594,43.0251403808594,13,7305,0.18
LT 88 kV CANOAS II / DECASA C 1 SP,SSP3-7.0,2031-2050,316.1751403808594,43.0251403808594,13,7305,0.18
LT 88 kV CANOAS II / DECASA C 1 SP,SSP3-7.0,2041-2060,316.1751403808594,43.0251403808594,21,7305,0.29
LT 88 kV CANOAS II / SALTO GRANDE C 1 SP,historical,1995-2014,316.1751403808594,43.0251403808594,17,7305,0.23
