linha,scenario,date_range,limit_ms,days_exceeding,total_days,n_cells,pct
LT 69 kV ITARARE II / ITARARE I C 1 SP,historical,1995-2014,5.9786605854684,731,7305,1,10.01
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2021-2040,5.9786605854684,756,7305,1,10.35
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2031-2050,5.9786605854684,767,7305,1,10.5
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP1-2.6,2041-2060,5.9786605854684,666,7305,1,9.12
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2021-2040,5.9786605854684,874,7305,1,11.96
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2031-2050,5.9786605854684,996,7305,1,13.63
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP2-4.5,2041-2060,5.9786605854684,1148,7305,1,15.72
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2021-2040,5.9786605854684,763,7305,1,10.44
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2031-2050,5.9786605854684,867,7305,1,11.87
LT 69 kV ITARARE II / ITARARE I C 1 SP,SSP3-7.0,2041-2060,5.9786605854684,884,7305,1,12.1
LT 88 kV ASSIS / CANOAS I C 1 SP,historical,1995-2014,6.6051290862354595,886,7305,2,12.13
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2021-2040,6.6051290862354595,1235,7305,2,16.91
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2031-2050,6.6051290862354595,1225,7305,2,16.77
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP1-2.6,2041-2060,6.6051290862354595,1252,7305,2,17.14
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2021-2040,6.6051290862354595,1438,7305,2,19.69
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2031-2050,6.6051290862354595,1481,7305,2,20.27
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP2-4.5,2041-2060,6.6051290862354595,1575,7305,2,21.56
LT 88 kV ASSIS / CANOAS I C 1 SP,SSP3-7.0,2021-2040,6.6051290862354595,1162,7305,2,15.91
